#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Africa,"12,860,924",,"258,892",,"12,090,808",,"511,224",529,,,,,,Africa,,,,,,
38,South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,"1,010"
62,Morocco,"1,278,992",,"16,303",,N/A,N/A,N/A,N/A,"33,860",432,"13,001,033","344,191","37,772,756",Africa,30,"2,317",3,,,173
66,Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,N/A,"95,741","2,442","5,013,383","416,164","12,046,656",Africa,10,409,2,,,"1,157"
89,Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,464
91,Libya,"507,274",,"6,437",,"500,835",,2,,"72,048",914,"2,483,848","352,782","7,040,745",Africa,14,"1,094",3,,,0.3
92,Ethiopia,"501,157",,"7,574",,"488,171",,"5,412",,"4,148",63,"5,565,340","46,066","120,812,698",Africa,241,"15,951",22,,,45
93,Réunion,"494,595",,921,,N/A,N/A,N/A,N/A,"544,672","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"82,706"
100,Zambia,"349,304",,"4,069",,"341,316",,"3,919",,"17,940",209,"4,112,961","211,244","19,470,234",Africa,56,"4,785",5,,,201
101,Kenya,"344,130",,"5,689",,"337,309",,"1,132",N/A,"6,122",101,"3,967,062","70,569","56,215,221",Africa,163,"9,881",14,,,20
104,Botswana,"330,638",,"2,801",,"327,049",,788,1,"135,443","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,323
106,Algeria,"272,010",,"6,881",,"183,061",,"82,068",,"5,998",152,"230,960","5,093","45,350,148",Africa,167,"6,591",196,,,"1,810"
107,Nigeria,"267,188",,"3,155",,"259,953",,"4,080",11,"1,233",15,"5,708,974","26,339","216,746,934",Africa,811,"68,700",38,,,19
108,Zimbabwe,"266,359",,"5,740",,"258,888",,"1,731",12,"17,373",374,"2,525,756","164,744","15,331,428",Africa,58,"2,671",6,,,113
111,Mozambique,"233,731",,"2,250",,"228,805",,"2,676",11,"7,064",68,"1,371,127","41,437","33,089,461",Africa,142,"14,706",24,,,81
120,Namibia,"172,389",,"4,106",,"167,099",,"1,184",,"65,451","1,559","1,062,663","403,460","2,633,874",Africa,15,641,2,,,450
121,Uganda,"172,149",,"3,632",,"100,431",,"68,086",,"3,554",75,"3,012,408","62,198","48,432,863",Africa,281,"13,335",16,,,"1,406"
122,Ghana,"171,889",,"1,462",,"170,425",,2,,"5,306",45,"2,541,625","78,456","32,395,450",Africa,188,"22,158",13,,,0.06
125,Rwanda,"133,518",,"1,468",,"132,039",,11,,"9,817",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,0.8
126,Cameroon,"125,379",,"1,974",,"123,280",,125,N/A,"4,492",71,"1,751,774","62,762","27,911,548",Africa,223,"14,140",16,,,4
129,Angola,"107,327",,"1,937",,"103,419",,"1,971",,"3,064",55,"1,499,795","42,818","35,027,343",Africa,326,"18,083",23,,,56
131,DRC,"99,338",,"1,468",,"84,489",,"13,381",,"1,043",15,"846,704","8,890","95,240,792",Africa,959,"64,878",112,,,140
