#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,"131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062","6,095",,,,,,North America,,,,,,
1,USA,"111,820,082",,"1,219,487",,"109,814,428",,"786,167",940,"333,985","3,642","1,186,851,502","3,544,901","334,805,269",North America,3,275,0,,,"2,348"
18,Mexico,"7,702,809",,"334,958",,"6,899,865",,"467,986",N/A,"58,549","2,546","20,013,810","152,124","131,562,772",North America,17,393,7,,,"3,557"
29,Canada,"4,946,090",,"59,034",,"4,881,312",+350,"5,744",99,"128,843","1,538","66,572,774","1,734,189","38,388,419",North America,8,650,1,,,150
61,Guatemala,"1,291,293",,"20,289",,"1,269,891",,"1,113",5,"69,484","1,092","7,593,848","408,622","18,584,039",North America,14,916,2,,,60
64,Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A,N/A,"239,058","1,819","4,659,757","899,158","5,182,354",North America,4,550,1,,,"71,154"
67,Cuba,"1,115,251",,"8,530",,"1,106,660",,61,,"98,645",754,"14,402,674","1,273,936","11,305,652",North America,10,"1,325",1,,,5
70,Panama,"1,059,893",,"8,727",,"1,051,102",,64,16,"238,341","1,962","7,882,622","1,772,585","4,446,964",North America,4,510,1,,,14
81,Dominican Republic,"675,890",,"4,384",,"671,316",,190,4,"61,131",397,"3,740,928","338,350","11,056,370",North America,16,"2,522",3,,,17
94,Honduras,"474,590",,"11,165",,N/A,N/A,N/A,N/A,"46,432","1,092","1,660,662","162,472","10,221,247",North America,22,915,6,,,"32,372"
112,Martinique,"230,354",,"1,102",,N/A,N/A,N/A,N/A,"615,777","2,946","828,928","2,215,870","374,087",North America,2,339,0,,,"612,553"
116,Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,N/A,"508,349","2,554","938,039","2,346,306","399,794",North America,2,392,0,,,"500,168"
117,El Salvador,"201,855",,"4,230",,"179,410",,"18,215",,"30,816",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,781"
118,Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,N/A,"136,143","3,121","913,289","649,295","1,406,585",North America,7,320,2,,,20
123,Jamaica,"156,869",,"3,756",,N/A,N/A,N/A,,"52,551","1,258","1,183,986","396,633","2,985,094",North America,19,795,3,,,"16,712"
128,Barbados,"110,578",,648,,"108,647",,"1,283",,"383,921","2,250","814,159","2,826,715","288,023",North America,3,444,0,,,"4,455"
141,Belize,"71,409",,688,,N/A,N/A,N/A,N/A,"173,243","1,669","576,016","1,397,453","412,190",North America,6,599,1,,,"1,543"
154,Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America,4,561,0,,,"5,866"
155,Aruba,"44,224",,292,,"42,438",,"1,494",2,"410,969","2,714","177,885","1,653,068","107,609",North America,2,369,1,,,"13,884"
161,Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516",North America,11,475,2,,,"2,182"
164,Haiti,"34,667",,860,,"33,734",,73,,"2,968",74,"132,422","11,337","11,680,283",North America,337,"13,582",88,,,6
167,Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277",North America,2,"1,818",0,,,"340,116"
168,Saint Lucia,"30,215",,410,,"29,805",,0,,"163,225","2,215","210,983","1,139,752","185,113",North America,6,451,1,,,
180,Grenada,"19,693",,238,,"19,358",,97,4,"173,545","2,097","182,981","1,612,523","113,475",North America,6,477,1,,,855
181,Bermuda,"18,860",,165,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128","61,939",North America,3,375,0,,,161
183,Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100",North America,367,"30,129",,,,"2,071"
