#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,South America,"70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,,,,South America,,,,,,
5,Brazil,"38,743,918",,"711,380",,"36,249,161",,"1,783,377",N/A,"179,908","3,303","63,776,166","296,146","215,353,593",South America,6,303,3,,,"8,281"
16,Argentina,"10,128,845",,"130,841",,"9,997,258",,746,,"220,143","2,844","35,716,069","776,264","46,010,234",South America,5,352,1,,,16
22,Colombia,"6,400,173",,"143,200",,"6,212,152",,"44,821",342,"124,244","2,780","36,951,507","717,327","51,512,762",South America,8,360,1,,,870
27,Chile,"5,384,853",,"64,497",,"5,252,450",,"67,906",7,"279,730","3,350","50,382,097","2,617,225","19,250,195",South America,4,298,0,,,"3,528"
35,Peru,"4,572,667",,"222,161",,"4,350,506",,0,4,"135,751","6,595","39,010,194","1,158,115","33,684,208",South America,7,152,1,,,
65,Bolivia,"1,212,131",,"22,407",,"1,177,145",,"12,579",220,"101,073","1,868","2,710,261","225,993","11,992,656",South America,10,535,4,,,"1,049"
68,Ecuador,"1,070,188",,"36,043",,"1,034,145",,0,,"59,083","1,990","3,082,403","170,173","18,113,361",South America,17,503,6,,,
71,Uruguay,"1,041,111",,"7,664",,"1,030,944",,"2,503",18,"297,799","2,192","6,114,822","1,749,083","3,496,016",South America,3,456,1,,,716
77,Paraguay,"837,602",,"20,155",,N/A,N/A,N/A,N/A,"114,648","2,759","2,657,506","363,751","7,305,843",South America,9,362,3,,,"16,306"
88,Venezuela,"552,695",,"5,856",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991",South America,53,"4,998",9,,,10
132,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
136,Suriname,"82,588",,"1,408",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822","596,831",South America,7,424,2,,,"52,623"
140,Guyana,"74,137",,"1,300",,"72,013",,824,,"93,366","1,637","733,218","923,396","794,045",South America,11,611,1,,,"1,038"
223,Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539",South America,2,,0,,,
,Total:,"70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,,,,South America,,,,,,
