#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,,,,Asia,,,,,,
2,India,"45,035,393",,"533,570",,N/A,N/A,N/A,N/A,"32,016",379,"935,879,495","665,334","1,406,631,776",Asia,31,"2,636",2,,,0.4
6,S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,,"673,523",700,"15,804,065","307,892","51,329,899",Asia,1,"1,428",3,,,
7,Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,N/A,"269,169",595,"100,414,883","799,578","125,584,838",Asia,4,"1,681",1,,,"95,582"
11,Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,N/A,"201,399","1,194","162,743,369","1,902,052","85,561,976",Asia,5,837,1,,,"4,024"
14,Vietnam,"11,625,195",,"43,206",,"10,640,971",,"941,018",,"117,481",437,"85,826,548","867,342","98,953,541",Asia,9,"2,290",1,,,"9,510"
15,Taiwan,"10,241,523",,"19,005",,"10,222,518",,0,,"428,720",796,"30,742,304","1,286,903","23,888,595",Asia,2,"1,257",1,,,
19,Iran,"7,627,186",,"146,811",,N/A,N/A,N/A,,"88,665","1,707","57,320,267","666,338","86,022,837",Asia,11,586,2,,,"1,199"
20,Indonesia,"6,829,221",,"162,063",,"6,647,104",,"20,054",N/A,"24,466",581,"114,158,919","408,975","279,134,505",Asia,41,"1,722",2,,,72
28,Malaysia,"5,278,406",,"37,348",,"5,233,268",,"7,790",11,"159,079","1,126","68,580,916","2,066,869","33,181,072",Asia,6,888,0,,,235
31,Israel,"4,841,772",,"12,707",,"4,798,473",,"30,592",N/A,"519,169","1,363","41,373,364","4,436,346","9,326,000",Asia,2,734,0,,,"3,280"
32,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia,5,"351,225",,,,
33,Thailand,"4,770,149",,"34,586",,"4,692,636",,"42,927",N/A,"68,069",494,"17,273,454","246,488","70,078,203",Asia,15,"2,026",4,,,613
37,Philippines,"4,140,383",,"66,864",,"4,067,381",,"6,138",N/A,"36,800",594,"36,102,746","320,888","112,508,994",Asia,27,"1,683",3,,,55
41,Singapore,"3,006,155",,"2,024",,"3,004,131",,0,4,"505,785",341,"24,756,666","4,165,302","5,943,546",Asia,2,"2,937",0,,,
42,Hong Kong,"2,937,609",,"14,924",,"2,916,005",,"6,680",N/A,"386,309","1,963","76,127,725","10,011,143","7,604,299",Asia,3,510,0,,,878
46,Iraq,"2,465,545",,"25,375",,"2,439,497",,673,,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
48,Bangladesh,"2,049,377",,"29,493",,N/A,N/A,N/A,N/A,"12,207",176,"15,254,399","90,862","167,885,689",Asia,82,"5,692",11,,,-168.58
50,Georgia,"1,861,665",,"17,132",,N/A,N/A,N/A,,"469,082","4,317","16,920,079","4,263,340","3,968,738",Asia,2,232,0,,,"17,130"
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
53,Pakistan,"1,581,936",,"30,664",,"1,538,689",,"12,583",,"6,893",134,"30,589,153","133,292","229,488,994",Asia,145,"7,484",8,,,55
56,Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043",Asia,14,"1,387",2,,,779
63,Lebanon,"1,243,838",,"10,952",,"1,087,587",,"145,299",74,"186,068","1,638","4,795,578","717,380","6,684,849",Asia,5,610,1,,,"21,736"
69,UAE,"1,067,030",,"2,349",,N/A,N/A,N/A,,"105,837",233,"200,732,262","19,910,389","10,081,785",Asia,9,"4,292",0,,,"1,007"
72,Mongolia,"1,011,496",,"2,284",,"1,009,212",,0,N/A,"299,429",676,"4,030,048","1,193,000","3,378,078",Asia,3,"1,479",1,,,
73,Nepal,"1,003,450",,"12,031",,"991,322",,97,,"33,199",398,"6,047,766","200,088","30,225,582",Asia,30,"2,512",5,,,3
76,Saudi Arabia,"841,469",,"9,646",,N/A,N/A,N/A,,"23,475",269,"45,481,735","1,268,848","35,844,909",Asia,43,"3,716",1,,,109
78,Azerbaijan,"835,234",,"10,400",,"824,089",,745,,"81,089","1,010","7,748,050","752,223","10,300,205",Asia,12,990,1,,,72
79,Bahrain,"729,549",,"1,574",,"727,915",,60,N/A,"408,944",882,"10,948,549","6,137,138","1,783,983",Asia,2,"1,133",0,,,34
80,Cyprus,"681,110",,"1,365",,"679,745",,0,,"556,741","1,116","9,640,118","7,879,860","1,223,387",Asia,2,896,0,,,
82,Sri Lanka,"672,754",,"16,897",,"655,852",,5,,"31,181",783,"6,486,117","300,619","21,575,842",Asia,32,"1,277",3,,,0.2
83,Kuwait,"667,158",,"2,570",,N/A,N/A,N/A,,"152,308",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,993
84,Myanmar,"641,873",,"19,495",,"620,159",,"2,219",,"11,622",353,"11,711,514","212,061","55,227,143",Asia,86,"2,833",5,,,40
87,Palestine,"621,008",,"5,404",,"615,445",,159,,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
90,Qatar,"514,524",,690,,"513,687",,147,16,"172,664",232,"4,065,369","1,364,257","2,979,915",Asia,6,"4,319",1,,,49
95,Armenia,"451,831",,"8,777",,"435,162",,"7,892",,"152,031","2,953","3,242,901","1,091,164","2,971,966",Asia,7,339,1,,,"2,655"
97,Oman,"399,449",,"4,628",,N/A,N/A,N/A,,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
102,Brunei,"343,719",,225,,"243,601",,"99,893",3,"771,655",505,"717,784","1,611,437","445,431",Asia,1,"1,980",1,,,"224,261"
109,Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077","34,382,084",Asia,136,"21,003",25,,,307
110,Afghanistan,"234,174",,"7,996",,"211,080",,"15,098",,"5,746",196,"1,390,730","34,125","40,754,388",Asia,174,"5,097",29,,,370
113,Laos,"218,970",,758,,N/A,N/A,N/A,,"29,270",101,"1,233,207","164,845","7,481,023",Asia,34,"9,869",6,,,"28,145"
115,Kyrgyzstan,"206,897",,"2,991",,"196,406",,"7,500",131,"30,750",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,115"
119,Maldives,"186,694",,316,,"163,687",,"22,691",25,"345,100",584,"2,213,831","4,092,223","540,985",Asia,3,"1,712",0,,,"41,944"
124,Cambodia,"139,103",,"3,056",,"136,044",,3,,"8,102",178,"3,091,420","180,062","17,168,639",Asia,123,"5,618",6,,,0.2
147,Bhutan,"62,697",,21,,"61,564",,"1,112",,"79,571",27,"2,303,734","2,923,739","787,941",Asia,13,"37,521",0,,,"1,411"
148,Syria,"57,743",,"3,165",,"54,578",,0,,"2,982",163,"146,269","7,553","19,364,809",Asia,335,"6,118",132,,,
170,Macao,"27,673",,123,,"3,487",,"24,063",,"41,458",184,"7,850","11,760","667,490",Asia,24,"5,427",85,,,"36,050"
176,Timor-Leste,"23,460",,138,,"23,102",,220,,"17,131",101,"278,529","203,391","1,369,429",Asia,58,"9,923",5,,,161
184,Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464",Asia,560,"79,660",,,,40
197,Yemen,"11,945",,"2,159",,"9,124",,662,N/A,383,69,"329,592","10,579","31,154,867",Asia,"2,608","14,430",95,,,21
231,China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400",Asia,"2,878","274,748",9,,,82
,Total:,"221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,,,,Asia,,,,,,
