#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Oceania,"14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,,,,Australia/Oceania,,,,,,
13,Australia,"11,853,144",,"24,414",,"11,820,014",,"8,716",3,"454,687",937,"81,916,639","3,142,326","26,068,792",Australia/Oceania,2,"1,068",0,,,334
44,New Zealand,"2,621,111",,"5,697",,"2,613,791",,"1,623",,"535,117","1,163","7,768,604","1,586,011","4,898,203",Australia/Oceania,2,860,1,,,331
137,New Caledonia,"80,064",,314,,N/A,N/A,N/A,N/A,"275,214","1,079","98,964","340,182","290,915",Australia/Oceania,4,926,3,,,498
138,French Polynesia,"79,254",,650,,N/A,N/A,N/A,N/A,"278,902","2,287",,,"284,164",Australia/Oceania,4,437,,,,"158,725"
142,Fiji,"69,117",,885,,"67,226",,"1,006",,"75,997",973,"672,883","739,866","909,466",Australia/Oceania,13,"1,028",1,,,"1,106"
153,Papua New Guinea,"46,864",,670,,"46,168",,26,N/A,"5,043",72,"249,149","26,813","9,292,169",Australia/Oceania,198,"13,869",37,,,3
172,Micronesia,"26,547",,65,,N/A,N/A,N/A,N/A,"225,953",553,"82,430","701,598","117,489",Australia/Oceania,4,"1,808",1,,,"162,271"
174,Solomon Islands,"25,954",,199,,N/A,N/A,N/A,N/A,"35,989",276,,,"721,159",Australia/Oceania,28,"3,624",,,,"13,032"
187,Samoa,"17,006",,31,,"1,605",,"15,370",,"84,089",153,"187,397","926,612","202,239",Australia/Oceania,12,"6,524",1,,,"75,999"
188,Tonga,"16,950",,13,,"15,638",,"1,299",,"157,310",121,"535,009","4,965,327","107,749",Australia/Oceania,6,"8,288",0,,,"12,056"
189,Marshall Islands,"16,138",,17,,"16,121",,0,,"268,711",283,,,"60,057",Australia/Oceania,4,"3,533",,,,
195,Vanuatu,"12,019",,14,,"11,976",,29,,"37,346",44,"24,976","77,606","321,832",Australia/Oceania,27,"22,988",13,,,90
210,Cook Islands,"7,203",,2,,"7,150",,51,,"409,937",114,"19,690","1,120,596","17,571",Australia/Oceania,2,"8,786",1,,,"2,903"
214,Palau,"6,290",,10,,"6,276",,4,,"344,979",548,"71,434","3,917,841","18,233",Australia/Oceania,3,"1,823",0,,,219
216,Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903",Australia/Oceania,2,"10,903",1,,,"4,127"
217,Kiribati,"5,085",,24,,"2,703",,"2,358",3,"41,201",194,,,"123,419",Australia/Oceania,24,"5,142",,,,"19,106"
219,Wallis and Futuna,"3,550",,8,,438,,"3,104",,"323,256",728,"20,508","1,867,419","10,982",Australia/Oceania,3,"1,373",1,,,"282,644"
221,Tuvalu,"2,943",,1,,N/A,N/A,N/A,N/A,"243,909",83,,,"12,066",Australia/Oceania,4,"12,066",,,,"243,826"
225,Niue,"1,059",,,,"1,056",,3,,"652,898",,,,"1,622",Australia/Oceania,2,,,,,"1,850"
227,Tokelau,80,,,,,,80,,"58,055",,,,"1,378",Australia/Oceania,17,,,,,"58,055"
,Total:,"14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,,,,Australia/Oceania,,,,,,
